timestamp,category,prompt_label,theta_low,theta_high,tokens,throughput_tok_sec,avg_power_watts,total_energy_joules,joules_per_token,speculative_cycles,fallback_steps,fallback_pct,draft_accept_rate_pct
2026-09-05T16:17:51.196383,"Entropy-Gated Speculative Scout (1B<->8B, real branching)",Poem_trial1,0.15,0.7,250,37.49,368.07,2454.7037,9.818815,3,241,98.8,40.0
2026-09-05T16:17:57.840471,"Entropy-Gated Speculative Scout (1B<->8B, real branching)",Poem_trial2,0.15,0.7,250,38.46,409.37,2660.8929,10.643571,3,241,98.8,40.0
2026-09-05T16:18:01.651755,"Entropy-Gated Speculative Scout (1B<->8B, real branching)",Poem_trial3,0.15,0.7,250,38.35,411.33,2681.1287,10.724515,3,241,98.8,40.0
2026-09-05T16:18:08.162709,"Entropy-Gated Speculative Scout (1B<->8B, real branching)",Poem_trial4,0.15,0.7,250,39.27,413.58,2632.9492,10.531797,3,241,98.8,40.0
2026-09-05T16:18:14.738468,"Entropy-Gated Speculative Scout (1B<->8B, real branching)",Poem_trial5,0.15,0.7,250,38.84,416.42,2680.2739,10.721096,3,241,98.8,40.0
2026-09-05T16:18:21.269388,"Entropy-Gated Speculative Scout (1B<->8B, real branching)",Physics_trial1,0.15,0.7,250,39.19,396.82,2531.4888,10.125955,20,172,89.6,58.0
2026-09-05T16:18:27.787666,"Entropy-Gated Speculative Scout (1B<->8B, real branching)",Physics_trial2,0.15,0.7,250,39.23,396.3,2525.5315,10.102126,20,172,89.6,58.0
2026-09-05T16:18:31.498520,"Entropy-Gated Speculative Scout (1B<->8B, real branching)",Physics_trial3,0.15,0.7,250,39.74,399.12,2510.8826,10.04353,20,172,89.6,58.0
2026-09-05T16:18:37.949641,"Entropy-Gated Speculative Scout (1B<->8B, real branching)",Physics_trial4,0.15,0.7,250,39.64,399.62,2520.4645,10.081858,20,172,89.6,58.0
2026-09-05T16:18:44.402385,"Entropy-Gated Speculative Scout (1B<->8B, real branching)",Physics_trial5,0.15,0.7,250,39.63,401.39,2532.1906,10.128762,20,172,89.6,58.0
2026-09-05T16:18:49.239386,"Entropy-Gated Speculative Scout (1B<->8B, real branching)",Code_trial1,0.15,0.7,255,54.36,345.55,1620.9549,6.356686,44,9,17.0,91.8
2026-09-05T16:18:54.162398,"Entropy-Gated Speculative Scout (1B<->8B, real branching)",Code_trial2,0.15,0.7,255,53.34,332.46,1589.4762,6.23324,44,9,17.0,91.8
2026-09-05T16:18:58.972586,"Entropy-Gated Speculative Scout (1B<->8B, real branching)",Code_trial3,0.15,0.7,255,54.74,341.01,1588.6914,6.230162,44,9,17.0,91.8
2026-09-05T16:19:00.981394,"Entropy-Gated Speculative Scout (1B<->8B, real branching)",Code_trial4,0.15,0.7,255,54.81,340.78,1585.5431,6.217816,44,9,17.0,91.8
2026-09-05T16:19:05.709403,"Entropy-Gated Speculative Scout (1B<->8B, real branching)",Code_trial5,0.15,0.7,255,55.63,340.18,1559.3544,6.115115,44,9,17.0,91.8
2026-09-05T16:22:55.608362,"Entropy-Gated Speculative Scout (1B<->8B, real branching)","theta(0.35,1.0)_alpha0.15_Poem_trial1",0.35,1.0,250,38.67,372.85,2410.5532,9.642213,0,250,100.0,0
2026-09-05T16:23:02.099527,"Entropy-Gated Speculative Scout (1B<->8B, real branching)","theta(0.35,1.0)_alpha0.15_Poem_trial2",0.35,1.0,250,39.42,413.29,2621.3112,10.485245,0,250,100.0,0
2026-09-05T16:23:08.632745,"Entropy-Gated Speculative Scout (1B<->8B, real branching)","theta(0.35,1.0)_alpha0.15_Poem_trial3",0.35,1.0,250,39.13,416.41,2660.7793,10.643117,0,250,100.0,0
2026-09-05T16:23:15.731677,"Entropy-Gated Speculative Scout (1B<->8B, real branching)","theta(0.35,1.0)_alpha0.15_Physics_trial1",0.35,1.0,255,36.71,391.38,2718.8178,10.66203,27,166,86.0,45.9
2026-09-05T16:23:22.747295,"Entropy-Gated Speculative Scout (1B<->8B, real branching)","theta(0.35,1.0)_alpha0.15_Physics_trial2",0.35,1.0,255,37.13,390.54,2682.2177,10.518501,27,166,86.0,45.9
2026-09-05T16:23:26.906975,"Entropy-Gated Speculative Scout (1B<->8B, real branching)","theta(0.35,1.0)_alpha0.15_Physics_trial3",0.35,1.0,255,37.18,394.1,2702.8358,10.599356,27,166,86.0,45.9
2026-09-05T16:23:31.789835,"Entropy-Gated Speculative Scout (1B<->8B, real branching)","theta(0.35,1.0)_alpha0.15_Code_trial1",0.35,1.0,255,53.81,339.95,1611.1002,6.31804,42,24,36.4,90.0
2026-09-05T16:23:37.401199,"Entropy-Gated Speculative Scout (1B<->8B, real branching)","theta(0.35,1.0)_alpha0.15_Code_trial2",0.35,1.0,255,46.83,307.57,1674.9011,6.56824,42,24,36.4,90.0
2026-09-05T16:23:42.389989,"Entropy-Gated Speculative Scout (1B<->8B, real branching)","theta(0.35,1.0)_alpha0.15_Code_trial3",0.35,1.0,255,52.68,339.11,1641.4082,6.436895,42,24,36.4,90.0
2026-09-05T16:23:49.165851,"Entropy-Gated Speculative Scout (1B<->8B, real branching)","theta(0.35,1.0)_alpha0.35_Poem_trial1",0.35,1.0,250,37.69,416.76,2764.2713,11.057085,2,248,99.2,0.0
2026-09-05T16:23:53.097544,"Entropy-Gated Speculative Scout (1B<->8B, real branching)","theta(0.35,1.0)_alpha0.35_Poem_trial2",0.35,1.0,250,38.24,427.74,2796.312,11.185248,2,248,99.2,0.0
2026-09-05T16:23:59.760149,"Entropy-Gated Speculative Scout (1B<->8B, real branching)","theta(0.35,1.0)_alpha0.35_Poem_trial3",0.35,1.0,250,38.35,428.62,2794.2878,11.177151,2,248,99.2,0.0
2026-09-05T16:24:06.610697,"Entropy-Gated Speculative Scout (1B<->8B, real branching)","theta(0.35,1.0)_alpha0.35_Physics_trial1",0.35,1.0,250,37.27,387.41,2598.7078,10.394831,33,137,80.6,48.5
2026-09-05T16:24:13.649892,"Entropy-Gated Speculative Scout (1B<->8B, real branching)","theta(0.35,1.0)_alpha0.35_Physics_trial2",0.35,1.0,250,36.26,381.28,2629.1243,10.516497,33,137,80.6,48.5
2026-09-05T16:24:20.572306,"Entropy-Gated Speculative Scout (1B<->8B, real branching)","theta(0.35,1.0)_alpha0.35_Physics_trial3",0.35,1.0,250,36.9,386.6,2619.3715,10.477486,33,137,80.6,48.5
2026-09-05T16:24:22.653190,"Entropy-Gated Speculative Scout (1B<->8B, real branching)","theta(0.35,1.0)_alpha0.35_Code_trial1",0.35,1.0,255,53.79,345.72,1639.0654,6.427708,44,13,22.8,90.0
2026-09-05T16:24:27.479818,"Entropy-Gated Speculative Scout (1B<->8B, real branching)","theta(0.35,1.0)_alpha0.35_Code_trial2",0.35,1.0,255,54.48,340.26,1592.4805,6.245021,44,13,22.8,90.0
2026-09-05T16:24:32.344966,"Entropy-Gated Speculative Scout (1B<->8B, real branching)","theta(0.35,1.0)_alpha0.35_Code_trial3",0.35,1.0,255,53.99,339.92,1605.5398,6.296234,44,13,22.8,90.0
2026-09-05T16:24:39.089413,"Entropy-Gated Speculative Scout (1B<->8B, real branching)","theta(0.35,1.0)_alpha0.65_Poem_trial1",0.35,1.0,250,37.9,398.88,2631.3668,10.525467,19,180,90.5,53.7
2026-09-05T16:24:45.831037,"Entropy-Gated Speculative Scout (1B<->8B, real branching)","theta(0.35,1.0)_alpha0.65_Poem_trial2",0.35,1.0,250,37.91,404.43,2667.0584,10.668234,19,180,90.5,53.7
2026-09-05T16:24:52.561517,"Entropy-Gated Speculative Scout (1B<->8B, real branching)","theta(0.35,1.0)_alpha0.65_Poem_trial3",0.35,1.0,250,37.98,404.6,2663.1656,10.652662,19,180,90.5,53.7
2026-09-05T16:24:56.648094,"Entropy-Gated Speculative Scout (1B<->8B, real branching)","theta(0.35,1.0)_alpha0.65_Physics_trial1",0.35,1.0,250,37.3,380.07,2547.5758,10.190303,38,116,75.3,50.5
2026-09-05T16:25:03.415445,"Entropy-Gated Speculative Scout (1B<->8B, real branching)","theta(0.35,1.0)_alpha0.65_Physics_trial2",0.35,1.0,250,37.75,377.76,2501.8175,10.00727,38,116,75.3,50.5
2026-09-05T16:25:10.257572,"Entropy-Gated Speculative Scout (1B<->8B, real branching)","theta(0.35,1.0)_alpha0.65_Physics_trial3",0.35,1.0,250,37.33,378.06,2531.9651,10.12786,38,116,75.3,50.5
2026-09-05T16:25:15.111614,"Entropy-Gated Speculative Scout (1B<->8B, real branching)","theta(0.35,1.0)_alpha0.65_Code_trial1",0.35,1.0,255,54.15,342.7,1613.662,6.328086,45,6,11.8,90.7
2026-09-05T16:25:19.977705,"Entropy-Gated Speculative Scout (1B<->8B, real branching)","theta(0.35,1.0)_alpha0.65_Code_trial2",0.35,1.0,255,54.06,340.16,1604.5603,6.292393,45,6,11.8,90.7
2026-09-05T16:25:21.973524,"Entropy-Gated Speculative Scout (1B<->8B, real branching)","theta(0.35,1.0)_alpha0.65_Code_trial3",0.35,1.0,255,54.89,340.95,1583.8222,6.211068,45,6,11.8,90.7
2026-09-05T16:25:28.755101,"Entropy-Gated Speculative Scout (1B<->8B, real branching)","theta(0.55,1.25)_alpha0.15_Poem_trial1",0.55,1.25,250,37.67,406.21,2696.0293,10.784117,11,218,95.2,38.2
2026-09-05T16:25:35.557290,"Entropy-Gated Speculative Scout (1B<->8B, real branching)","theta(0.55,1.25)_alpha0.15_Poem_trial2",0.55,1.25,250,37.55,411.26,2738.2362,10.952945,11,218,95.2,38.2
