timestamp,category,prompt_label,tokens,throughput_tok_sec,avg_power_watts,total_energy_joules,joules_per_token
2026-08-30T08:07:51.656628,"FP16 Baseline (matched harness, no clutch/scout)",Poem_trial1,250,41.42,384.12,2318.2873,9.273149
2026-08-30T08:07:57.815452,"FP16 Baseline (matched harness, no clutch/scout)",Poem_trial2,250,41.26,427.85,2592.6011,10.370404
2026-08-30T08:08:03.997513,"FP16 Baseline (matched harness, no clutch/scout)",Poem_trial3,250,41.12,429.14,2608.9368,10.435747
2026-08-30T08:08:10.056841,"FP16 Baseline (matched harness, no clutch/scout)",Poem_trial4,250,41.94,431.03,2569.2941,10.277177
2026-08-30T08:08:13.761006,"FP16 Baseline (matched harness, no clutch/scout)",Poem_trial5,250,41.91,433.42,2585.1286,10.340514
2026-08-30T08:08:19.836943,"FP16 Baseline (matched harness, no clutch/scout)",Physics_trial1,250,41.82,436.58,2609.6128,10.438451
2026-08-30T08:08:25.948760,"FP16 Baseline (matched harness, no clutch/scout)",Physics_trial2,250,41.57,439.11,2640.5914,10.562365
2026-08-30T08:08:32.114835,"FP16 Baseline (matched harness, no clutch/scout)",Physics_trial3,250,41.21,439.41,2665.796,10.663184
2026-08-30T08:08:38.298851,"FP16 Baseline (matched harness, no clutch/scout)",Physics_trial4,250,41.1,439.36,2672.4446,10.689778
2026-08-30T08:08:42.027760,"FP16 Baseline (matched harness, no clutch/scout)",Physics_trial5,250,41.92,441.59,2633.3315,10.533326
2026-08-30T08:08:48.106000,"FP16 Baseline (matched harness, no clutch/scout)",Code_trial1,250,41.81,442.17,2643.6667,10.574667
2026-08-30T08:08:54.279266,"FP16 Baseline (matched harness, no clutch/scout)",Code_trial2,250,41.16,442.26,2686.2646,10.745058
2026-08-30T08:09:00.526228,"FP16 Baseline (matched harness, no clutch/scout)",Code_trial3,250,40.68,440.38,2706.5238,10.826095
2026-08-30T08:09:06.635969,"FP16 Baseline (matched harness, no clutch/scout)",Code_trial4,250,41.6,442.57,2659.467,10.637868
2026-08-30T08:09:12.740484,"FP16 Baseline (matched harness, no clutch/scout)",Code_trial5,250,41.63,441.88,2653.7862,10.615145
